Orthologue Group ID	ProteinID
OG0000000	MT11-610_k25_TRINITY_DN181653_c0_g1_i2
OG0000000	MT11-610_k25_TRINITY_DN27097_c0_g1_i4
OG0000000	MT11-610_k25_TRINITY_DN27097_c0_g1_i8
OG0000000	MT11-610_k25_TRINITY_DN33901_c1_g2_i3
OG0000000	MT11-610_k25_TRINITY_DN43315_c1_g2_i1
OG0000000	MT11-610_k25_TRINITY_DN7852_c0_g1_i2
OG0000000	MT11-610_k25_TRINITY_DN7852_c0_g1_i3
OG0000000	MT11-610_k25_TRINITY_DN86043_c1_g1_i1
OG0000000	MT11-610_k25_TRINITY_DN86043_c1_g1_i3
OG0000000	MT11-610_k25_TRINITY_DN93979_c0_g1_i1
OG0000000	MT11-610_k25_TRINITY_DN93979_c0_g1_i2
OG0000000	MT11-610_k25_TRINITY_DN93979_c0_g1_i3
OG0000000	MT11-610_k25_TRINITY_DN98240_c0_g3_i2
OG0000000	MT11-610_k31_TRINITY_DN11302_c0_g2_i1
OG0000000	MT11-610_k31_TRINITY_DN11923_c1_g1_i1
OG0000000	MT11-610_k31_TRINITY_DN155710_c0_g1_i1
OG0000000	MT11-610_k31_TRINITY_DN21696_c0_g1_i11
OG0000000	MT11-610_k31_TRINITY_DN21696_c0_g1_i3
OG0000000	MT11-610_k31_TRINITY_DN21696_c0_g1_i9
OG0000000	MT11-610_k31_TRINITY_DN24929_c0_g1_i6
OG0000000	MT11-610_k31_TRINITY_DN24929_c0_g1_i7
OG0000000	MT11-610_k31_TRINITY_DN33703_c2_g1_i1
OG0000000	MT11-610_k31_TRINITY_DN47713_c0_g2_i2
OG0000000	MT11-610_k31_TRINITY_DN50932_c0_g1_i5
OG0000000	MT11-610_k31_TRINITY_DN53261_c0_g1_i2
OG0000000	MT11-610_k31_TRINITY_DN56173_c0_g1_i1
OG0000000	MT11-610_k31_TRINITY_DN56173_c0_g1_i3
OG0000000	MT11-610_k31_TRINITY_DN72925_c0_g1_i3
OG0000000	MT11-610_k31_TRINITY_DN72925_c1_g1_i1
OG0000000	MT11-610_k31_TRINITY_DN734_c0_g1_i10
OG0000000	MT11-610_k31_TRINITY_DN734_c0_g1_i3
OG0000000	MT11-610_k31_TRINITY_DN74026_c1_g1_i3
OG0000000	Q200_k25_TRINITY_DN20332_c0_g1_i1
OG0000000	Q200_k25_TRINITY_DN21180_c0_g2_i3
OG0000000	Q200_k25_TRINITY_DN21180_c0_g2_i6
OG0000000	Q200_k25_TRINITY_DN22341_c2_g1_i1
OG0000000	Q200_k31_TRINITY_DN14031_c2_g1_i1
OG0000000	Q200_k31_TRINITY_DN7434_c0_g1_i6
OG0000000	Q200_k31_TRINITY_DN7434_c0_g1_i7
OG0000000	Q200_k31_TRINITY_DN9484_c1_g1_i2
OG0000000	Q200_k31_TRINITY_DN9484_c1_g1_i3
OG0000000	Q200_k31_TRINITY_DN9484_c2_g1_i1
OG0000000	Q200_k31_TRINITY_DN9484_c2_g1_i4
OG0000000	Q241_k31_TRINITY_DN10709_c0_g1_i3
OG0000000	Q241_k31_TRINITY_DN14398_c0_g1_i13
OG0000000	Q241_k31_TRINITY_DN581_c2_g1_i1
OG0000000	QA02-1009_k25_TRINITY_DN12711_c1_g1_i6
OG0000000	QA02-1009_k25_TRINITY_DN12711_c1_g1_i8
OG0000000	QA02-1009_k25_TRINITY_DN13646_c0_g1_i1
OG0000000	QA02-1009_k25_TRINITY_DN13646_c0_g1_i4
OG0000000	QA02-1009_k25_TRINITY_DN13646_c0_g1_i6
OG0000000	QA02-1009_k25_TRINITY_DN2710_c0_g1_i11
OG0000000	QA02-1009_k25_TRINITY_DN2710_c0_g1_i12
OG0000000	QA02-1009_k25_TRINITY_DN31746_c0_g1_i1
OG0000000	QA02-1009_k25_TRINITY_DN31746_c0_g1_i2
OG0000000	QA02-1009_k25_TRINITY_DN53734_c1_g1_i1
OG0000000	QA02-1009_k25_TRINITY_DN53734_c1_g1_i3
OG0000000	QA02-1009_k25_TRINITY_DN53734_c1_g3_i3
OG0000000	QA02-1009_k31_TRINITY_DN47144_c0_g1_i1
OG0000000	QA02-1009_k31_TRINITY_DN47144_c0_g1_i2
OG0000000	QA02-1009_k31_TRINITY_DN6995_c0_g1_i2
OG0000000	QA96-1749_k25_TRINITY_DN4351_c0_g1_i1
OG0000000	QA96-1749_k25_TRINITY_DN4351_c0_g1_i3
OG0000000	QA96-1749_k25_TRINITY_DN4351_c0_g1_i4
OG0000000	QA96-1749_k25_TRINITY_DN5511_c0_g1_i2
OG0000000	QA96-1749_k25_TRINITY_DN5511_c0_g1_i3
OG0000000	QA96-1749_k25_TRINITY_DN5511_c0_g1_i6
OG0000000	QA96-1749_k25_TRINITY_DN5511_c0_g1_i7
